"•ÈÀ""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Type,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Height - Seated (Max),Lead Spacing,Manufacturer Size Code,Features,STOCK,Package,Column3,Column4
http://www.avx.com/docs/Catalogs/tpc.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4962-1-ND,TPCR226K006R1500,AVX Corporation,CAP TANT 22UF 6.3V 10% 0805,6461,0,3.89,0,1,Cut Tape (CT),TACmicrochipå¨ TPC,22åµF,å±10%,6.3V,1.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,http://media.digikey.com/Renders/AVX%20Renders/NLJ%20Series;%20P.jpg,478-3270-1-ND,TAJP226K004RNJ,AVX Corporation,CAP TANT 22UF 4V 10% 0805,0,0,Call,0,1,Cut Tape (CT),TAJ,22åµF,å±10%,4V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.053"" W (2.05mm x 1.35mm)","0.059"" (1.50mm)",-,P,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-7524-1-ND,TACR336K004RTA,AVX Corporation,CAP TANT 33UF 4V 10% 0805,2540,0,2.96,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,33åµF,å±10%,4V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tpc.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4963-1-ND,TPCR336K004R1500,AVX Corporation,CAP TANT 33UF 4V 10% 0805,5714,0,3.89,0,1,Cut Tape (CT),TACmicrochipå¨ TPC,33åµF,å±10%,4V,1.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,STOCK,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4189-1-ND,TACR336K004XTA,AVX Corporation,CAP TANT 33UF 4V 10% 0805,0,0,Call,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,33åµF,å±10%,4V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3280-1-ND,TAJR475K010RNJ,AVX Corporation,CAP TANT 4.7UF 10V 10% 0805,17217,0,1.11,0,1,Cut Tape (CT),TAJ,4.7åµF,å±10%,10V,9 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,http://media.digikey.com/Renders/AVX%20Renders/NLJ%20Series;%20P.jpg,478-7545-1-ND,TAJP475K016RNJ,AVX Corporation,CAP TANT 4.7UF 16V 10% 0805,4395,0,1.15,0,1,Cut Tape (CT),TAJ,4.7åµF,å±10%,16V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.059"" (1.50mm)",-,P,General Purpose,STOCK,,,
http://www.avx.com/docs/Catalogs/tajlp.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAJ,TLJ%20SERIES%202.05L,1.3W.jpg",478-3272-1-ND,TAJR475K006RNJ,AVX Corporation,CAP TANT 4.7UF 6.3V 10% 0805,2480,0,1.11,0,1,Cut Tape (CT),TAJ,4.7åµF,å±10%,6.3V,7 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.081"" L x 0.051"" W (2.05mm x 1.30mm)","0.047"" (1.20mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4190-1-ND,TACR475K010XTA,AVX Corporation,CAP TANT 4.7UF 10V 10% 0805,2499,0,3.49,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,4.7åµF,å±10%,10V,6 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-5227-1-ND,TACR475K010RTA,AVX Corporation,CAP TANT 4.7UF 10V 10% 0805,3077,0,3.49,0,1,Cut Tape (CT),TACmicrochipå¨ TAC,4.7åµF,å±10%,10V,6 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
http://www.avx.com/docs/Catalogs/tpc.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-4964-1-ND,TPCR476K003R1500,AVX Corporation,CAP TANT 47UF 3V 10% 0805,5767,0,3.89,0,1,Cut Tape (CT),TACmicrochipå¨ TPC,47åµF,å±10%,3V,1.5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,STOCK,,,
http://www.avx.com/docs/Catalogs/tac.pdf,"http://media.digikey.com/photos/AVX%20Photos/TAC,TLC%20SERIES%202.0-2.5L,1.35W.jpg",478-8776-1-ND,TACR476K003RTA,AVX Corporation,CAP TANT 0805,5000,0,2.86,0,1,Cut Tape (CT),TACmicrochipå¨,47åµF,å±10%,3V,5 Ohm,Molded,-55å¡C ~ 125å¡C,Surface Mount,0805 (2012 Metric),"0.079"" L x 0.053"" W (2.00mm x 1.35mm)","0.059"" (1.50mm)",-,R,General Purpose,SPECIAL-ORDER,,,
